,canonical
0,C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC
1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
3,[H]/[NH+]=C(\N)C1=CC(=O)/C(=C\C=c2ccc(=C(N)[NH3+])cc2)C=C1
4,[H]/[NH+]=C(\N)c1ccc(OCCCCCOc2ccc(/C(N)=[NH+]/[H])cc2)cc1
5,O=[N+]([O-])[O-]
6,[N]=O
7,
8,O=[99Tc](=O)(=O)[O-]
9,O=P([O-])([O-])F
10,O=S(=O)([O-])[O-]
11,O=S([O-])([O-])=S
12,[Se]
13,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
14,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
15,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
16,C#CC1(OC(N)=O)CCCCC1
17,C#CC[NH2+][C@@H]1CCc2ccccc21
18,C#CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1
19,C#N
20,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
21,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
22,[NH3+][C@@H](CS)C(=O)[O-]
23,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
24,O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O
25,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O
26,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
27,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
28,O=C[C@H](O)[C@@H](O)[C@H](O)CO
29,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
30,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
31,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
32,NC(N)=[NH2+]
33,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
34,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
35,O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]
36,O=C([O-])[C@@H](S)[C@@H](S)C(=O)[O-]
37,O=P([O-])([O-])OCC(Cl)(Cl)Cl
38,[NH3+]C(CO)(CO)CO
39,OCC(O)CO
40,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
41,OC[C@H](S)CS
42,FC(F)(F)C(F)(F)C(F)(F)F
43,FC(F)(F)[C@@H](Cl)Br
44,FC(F)O[C@@H](Cl)C(F)(F)F
45,FC(F)O[C@@H](F)C(F)(F)F
46,FC(F)=C(F)F
47,[NH3+]CC(=O)[O-]
48,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
49,FC(F)OC(F)(F)[C@H](F)Cl
50,O=C([O-])/C=C/C(=O)[O-]
51,NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-]
52,NCC[NH2+]CCNCC[NH2+]CCN
53,[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
54,[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-]
55,[NH3+]CCC[C@]([NH3+])(C(=O)[O-])C(F)F
56,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
57,O=C([O-])CCC(=O)[O-]
58,[NH3+]CC(=O)CCC(=O)[O-]
59,O=C([O-])CCCO
60,NC(=O)CC[C@H]([NH3+])C(=O)[O-]
61,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
62,[NH3+]CCCCCC(=O)[O-]
63,O=C([O-])CCCCCCCC(=O)[O-]
64,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
65,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-]
66,NCC[NH2+]CCNCC[NH3+]
67,O=C(NC[C@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(N(CCO)C(=O)CO)c1I
68,O=S(=O)([O-])CCS
69,[NH3+]CCS
70,O=C([O-])[O-]
71,O=C([O-])P(=O)([O-])[O-]
72,NC(N)=O
73,NC(=O)NO
74,FCOC(C(F)(F)F)C(F)(F)F
75,C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1
76,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
77,C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1
78,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
79,NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N
80,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
81,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O
82,[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O
83,OCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
84,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
85,[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1
86,NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O
87,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2
88,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
89,[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O
90,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H](O)[C@@H](O)[C@@H]1O
91,[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O
92,O=S(=O)([O-])O[C@@H]1[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])OC[C@H]1O
93,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
94,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
95,[NH3+][C@@H]1CONC1=O
96,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
97,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
98,Nc1nc(=S)c2[nH]cnc2[nH]1
99,S=c1nc[nH]c2nc[nH]c12
100,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
101,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1
102,[NH3+]CCc1cnc[nH]1
103,Nc1[nH]c(=O)ncc1F
104,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
105,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I
106,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I
107,Clc1cc(Cl)c(OCC#CI)cc1Cl
108,[NH3+][C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
109,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
110,O=c1[nH]cc(F)c(=O)[nH]1
111,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
112,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
113,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
114,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
115,O=c1[nH]cc(F)c(=O)[nH]1
116,Nc1cc(Cl)c(NC2=[NH+]CCN2)c(Cl)c1
117,[NH3+][C@@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-]
118,[NH3+][C@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-]
119,N#Cc1cc(NC(=O)C(=O)[O-])c(Cl)c(NC(=O)C(=O)[O-])c1
120,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
121,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
122,Nc1nc(=O)c2c([nH]1)NC[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O
123,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O
124,NC(N)=[NH+]c1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
125,Nc1nc(/C(=C/CC(=O)[O-])C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=CCS[C@H]23)cs1
126,ClC[C@H]1CO1
127,Oc1ncnc2[nH]ncc12
128,O=C1OC2(c3cc([131I])c([O-])c([131I])c3Oc3c2cc([131I])c([O-])c3[131I])c2c(Cl)c(Cl)c(Cl)c(Cl)c21
129,[NH3+][C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2Cl)C1
130,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](C(Cl)Cl)NS2(=O)=O
131,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H]([C@H]1C[C@H]3C=C[C@@H]1C3)NS2(=O)=O
132,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
133,O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O
134,[NH3+][C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
135,C1=C/C(=C2\N=c3cnc4c(c3=N2)COCC4)NO1
136,NC(=O)N/C=C1/NC(=O)[C@H](CNC(=O)C[C@@H]([NH3+])CCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])CNC(=O)[C@H]([C@H]2CC[NH+]=C(N)N2)NC1=O
137,Nc1cc[nH+]cc1
138,[NH3+]CCc1cc[nH]n1
139,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1
140,NC(N)=[NH+]C(=O)Cc1c(Cl)cccc1Cl
141,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
142,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
143,Clc1cccc(Cl)c1NC1=[NH+]CCN1
144,Clc1ccc(CC[C@@H](Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
145,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
146,O=C1CN2Cc3c(ccc(Cl)c3Cl)[NH+]=C2N1
147,Brc1c(NC2=[NH+]CCN2)ccc2nccnc12
148,Clc1ccc2nsnc2c1NC1=[NH+]CCN1
149,O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O
150,[NH3+]C[C@H](O)c1ccc(O)c(O)c1
151,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
152,O=C1CCCC(=O)[C-]1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
153,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
154,O=C([O-])c1cc(-c2ccc(F)cc2F)ccc1O
155,[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-]
156,[NH3+]CCc1ccc(O)c(O)c1
157,Clc1ccc([C@@H](Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
158,O=C(NS(=O)(=O)c1ccc(Br)s1)c1ccc(Cl)cc1Cl
159,Clc1ccc(CO/N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
160,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
161,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
162,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
163,[NH3+][C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)[O-])cn4-c3ccc(F)cc3F)C[C@@H]12
164,Nc1ccc(O)c(C(=O)[O-])c1
165,Nc1ccc(C(=O)[O-])c(O)c1
166,[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]
167,O=C(NC[C@H]1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
168,O=C(O)C1(C(=O)O)CCC1
169,O=C1c2c([O-])ccc([O-])c2C(=O)c2c(NCC[NH2+]CCO)ccc(NCC[NH2+]CCO)c21
170,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
171,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[N@H+]3CC2CC2)[C@H]1O5
172,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)[N@H+](CC2CCC2)CC[C@]314
173,NC(N)=[NH+]Cc1cccc([131I])c1
174,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1
175,Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1
176,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)[C-](Cl)Cl
177,O=C([O-])CCC(=O)OC[C@@H](NC(=O)[C-](Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1
178,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
179,[NH3+]C[C@H](CC(=O)[O-])c1ccc(Cl)cc1
180,O=C(CCC[N@H+]1CC[C@](O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
181,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O
182,Nc1nc(=O)c2c([nH]1)NC[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O
183,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)cnc2[nH]1
184,Nc1ccc(C(=O)NCC(=O)[O-])cc1
185,O=C([O-])CCNC(=O)c1ccc(N/N=C2/C=CC(=O)C(C(=O)[O-])=C2)cc1
186,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
187,Oc1ccc([C@@H]2C[NH2+]CCc3c2cc(O)c(O)c3Cl)cc1
188,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
189,[NH3+][C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)[O-]
190,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]
191,c1cc(C[N@H+]2CCCNCC[NH2+]CCCNCC2)ccc1C[N@@H+]1CCCNCC[NH2+]CCCNCC1
192,NS(=O)(=O)c1ccc(C[NH3+])cc1
193,Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c[nH]c2[nH]1
194,Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1
195,O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1
196,Oc1ccc(CCCC[NH2+]C[C@H](O)c2ccc(O)c(O)c2)cc1
197,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
198,Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
199,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
200,Nc1ccc(S(N)(=O)=O)cc1
201,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
202,[NH2+]=C(NCCCCCCNC(=[NH2+])NC(=[NH2+])Nc1ccc(Cl)cc1)NC(=[NH2+])Nc1ccc(Cl)cc1
203,O=[S@@]([O-])CNc1ccc(S(=O)(=O)c2ccc(NC[S@@](=O)[O-])cc2)cc1
204,Oc1ccc(O)cc1
205,NC(=O)OC[C@H](O)COc1ccc(Cl)cc1
206,O=P([O-])([O-])C(Sc1ccc(Cl)cc1)P(=O)([O-])[O-]
207,O=C([O-])c1cccnc1
208,NC(=O)c1cccnc1
209,O=P([O-])([O-])C(O)(Cc1cccnc1)P(=O)([O-])[O-]
210,Nc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O
211,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1
212,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O
213,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
214,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl
215,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
216,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1
217,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
218,O=C1O[Pt]OC(=O)C12CCC2
219,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O
220,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1
221,Oc1c(Cl)cc(Cl)c2cccnc12
222,Oc1c(I)cc(Cl)c2cccnc12
223,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCC[NH2+]1
224,O=C1C([O-])=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
225,N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
226,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
227,O=c1[nH]c2cc(Cl)ccc2o1
228,O[C@H](C[NH2+]C[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
229,Nc1nc2ccc(OC(F)(F)F)cc2s1
230,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
231,Clc1ccc([C@H](Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1
232,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1
233,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[N@H+]2CC[C@@H]1CC2
234,Oc1cccc2cccnc12
235,N[C@@H]1CCCC[C@H]1[NH3+]
236,Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1
237,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1
238,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@@H]1O
239,O=C([O-])c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1
240,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
241,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
242,Clc1ccccc1C[N@H+]1CCc2sccc2C1
243,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl
244,[NH3+]Cc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3CC(=O)[O-])CS[C@H]12
245,[NH3+]CC1(CC(=O)[O-])CCCCC1
246,Nc1ccc(/N=N/c2ccccc2)c(N)n1
247,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12
248,[NH3+][C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CC[C@H]12)c1ccccc1
249,O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
250,O=C(O[C@H]1C[N@H+]2CC[C@@H]1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
251,c1ccc([C@H]2CN3CCSC3=[NH+]2)cc1
252,O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
253,OCCOCC[NH+]1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1
254,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@@H+](CCc2ccc3c(c2)CCO3)C1
255,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
256,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
257,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1
258,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1
259,O[C@](CC[NH+]1CCCC1)(c1ccccc1)C1CCCCC1
260,O[C@](CC[NH+]1CCCCC1)(c1ccccc1)[C@@H]1C[C@H]2C=C[C@@H]1C2
261,O[C@@](CC[NH+]1CCCCC1)(c1ccccc1)C1CCCC1
262,O[C@@](CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1
263,OC(CCC[NH+]1CCCCC1)(c1ccccc1)c1ccccc1
264,NC(=O)OCC(COC(N)=O)c1ccccc1
265,O=C([O-])c1ccccc1
266,O=C(c1ccccc1)c1ccc2n1CC[C@@H]2C(=O)[O-]
267,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
268,O=C([O-])c1ccc(NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1
269,O=C([O-])CNC(=O)c1ccccc1
270,O=C(OOC(=O)c1ccccc1)c1ccccc1
271,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)([O-])[O-]
272,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
273,N#CC(CC[N@H+]1CC[C@](C(=O)[O-])(c2ccccc2)CC1)(c1ccccc1)c1ccccc1
274,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
